ACCOUNT_NAME,ACCOUNT_NUMBER,ACCT_TYPE,PHONE,ADDRESS1,ADDRESS2,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,INDUSTRY
Informatica,A100,1,6503855230,100 Cardinal Sector, Bldg 1,Redwood City,CA,94063,USA,1
Tyco,A200,2,6097205280,9 Roszel Road , Floor 20,Princeton,NJ,8540,USA,2
Genworth,A300,1,8042816000,6620 W. Broad St.,,Richmond,VA,23230,USA,3
Honeywell,A400,1,3165228172,7227 W Harry St,,Wichita,KS,67209,USA,2
PayPal Inc.,A500,2,6508648000,2145 Hamilton Ave, Suite 100,San Jose,CA,95125,USA,9
CoxMedia,A600,2,4783143600,6601 Hawkinsville Rd,,Macon,GA,31216,USA,4
American Greetings,A700,1,2627829000,95 N Moorland Rd,,Brookfield,WI,53005,USA,5
Covad,A800,3,6164543071,114 Division Ave N, Building 2,Grand Rapids,MI,49503,USA,7
ChoicePoint,A900,1,8775472518,651 Holiday Dr,,Pittsburgh,PA,15220,USA,8
Daiwa,A1000,1,2126126700,32 Old Slip,,New York,NY,10005,USA,9
