SNO,FILLER1,TIME_KEY 
001,AAA,20250301 
002,BBB,20250302 
003,CCC,20250303 
004,DDD,20250304 
005,EEE,20250305 
006,FFF,20250306 
007,GGG,20250307 
008,HHH,20250308 
009,III,20250309 
010,JJJ,20250310 
011,KKK,20250311   
012,LLL,20250312   
013,MMM,20250313   
014,NNN,20250314   
015,OOO,20250315  
016,PPP,20250316   
017,QQQ,20250317   
018,RRR,20250318   
019,SSS,20250319   
020,TTT,20250320   
021,UUU,20250321   
022,VVV,20250322   
023,WWW,20250323   
024,XXX,20250324   
025,YYY,20250325   
026,ZZZ,20250326   
027,AAA,20250327   
028,BBB,20250328   
029,CCC,20250329   
030,DDD,20250330   
031,EEE,20250331   
032,FFF,20250401   
033,GGG,20250402   
034,HHH,20250403   
035,III,20250404   
036,JJJ,20250405   
037,KKK,20250406   
038,LLL,20250407
039,MMM,20250408   
040,NNN,20250409  
041,OOO,20250410   
042,PPP,20250411   
043,QQQ,20250412   
044,RRR,20250413   
045,SSS,20250414   
046,TTT,20250415   
047,UUU,20250416   
048,VVV,20250417   
049,WWW,20250418   
050,XXX,20250419   
